"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.617805833E0,2.596886466E0,-3.162466586E-1,-5.340027253E-2,2.616616681E0
2.627852833E0,2.447563342E0,-3.186457711E-1,-2.226760054E-1,2.478242531E0
2.637898833E0,2.096660967E0,-2.891021293E-1,-3.243169856E-1,2.141202643E0
2.647944833E0,1.609327118E0,-2.062131697E-1,-1.908063412E-2,1.622597212E0
2.657991833E0,9.758970764E-1,-1.105047745E-1,4.572990417E-1,1.083378430E0
2.668037833E0,2.769168608E-1,8.155579448E-2,8.718806648E-1,9.184281078E-1
2.678083833E0,-2.831341870E-1,2.891559237E-1,9.835765171E-1,1.063578338E0
2.688130833E0,-5.065517472E-1,4.726970994E-1,1.057169573E0,1.263979718E0
2.698176833E0,-7.667998407E-1,4.478119344E-1,1.044829609E0,1.371198905E0
2.708222833E0,-9.664635441E-1,4.347299588E-1,6.210234189E-1,1.228296384E0
2.718269833E0,-1.308480271E0,3.178406096E-1,5.977117395E-1,1.473228630E0
2.728315833E0,-1.367361294E0,3.282755506E-1,5.829030446E-1,1.522241014E0
2.738361833E0,-1.565744165E0,1.476796174E-1,4.239067626E-1,1.628821968E0
2.748408833E0,-1.981093381E0,1.810613716E-1,2.318339145E-1,2.002813313E0
2.758454833E0,-2.293215706E0,2.557361627E-1,1.328803146E-1,2.311254300E0
2.768500833E0,-2.634681698E0,2.401849079E-1,9.950791597E-3,2.645625722E0
2.778547833E0,-3.083675062E0,1.418189532E-1,-5.653435271E-2,3.087452127E0
2.788593833E0,-3.485374392E0,1.083974379E-1,-3.327860928E-1,3.502903259E0
2.798639667E0,-3.798734865E0,3.811565995E-2,-4.741004312E-1,3.828395303E0
2.808685667E0,-3.970841518E0,4.283377826E-2,-1.491905745E-1,3.973874045E0
2.818731667E0,-4.040680954E0,2.302580899E-1,2.776643543E-1,4.056749790E0
2.828778667E0,-4.234062702E0,2.669066834E-1,4.768451508E-1,4.269181120E0
2.838824667E0,-4.524925428E0,1.814303309E-1,2.517460227E-1,4.535553235E0
